Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
Caye Villas ,Belize,San Pedro,Nothern Islands,Yes,2010,12,9,10,3,0,0,0,,
Central O'tel,Cayo,Cayo,Western Belize ,Yes,1970,9,7,12,1,0,0,0,,
Cerros Beach Inn,Corozal,Corozal,Northern Belize,Yes,2006,4,4,6,0,0,1,1,18.360668,-88.34059
Chabil Mar,Stann Creek,Placencia,SouthEastern Coast ,Yes,2005,44,39,62,29,15,1,1,16.526827,-88.364631
Chaleanor Hotel,Stann Creek,Dangriga,SouthEastern Coast ,Yes,1994,18,18,37,3,4,0,0,16.966219,-88.220032
Chan Chich,Orange Walk,Orange Walk,Northern Belize,Yes,1988,15,15,15,10,10,1,0,17.539013,-89.111284
Changes In Latitudes,Belize,San Pedro,Nothern Islands,Yes,1993,7,7,9,0,2,0,0,17.913411,-87.967923
Charlton's Inn,Toledo,Toledo,Southern Belize,Yes,1990,26,26,50,2,5,0,0,16.094726,-88.801477
Charo's Guest House,Stann Creek,Placencia,SouthEastern Coast ,No,2011,12,6,7,1,1,0,0,16.3059.42,-88.22067
Chateau Caribbean Hotel,Belize,Belize City,Central Coast Belize,Yes,1980,25,25,28,7,15,0,0,17.294019,-88.105232
Chaya Maya Jungle Lodge,Cayo,Cayo,Western Belize ,Yes,2015,3,3,3,2,1,0,0,17.245632,-88.860676
Cheers Cabanas,Cayo,Cayo,Western Belize ,Yes,2004,3,3,5,4,10,0,0,17.323588,-88.564738
Chez Caribe,Belize,San Pedro,Nothern Islands,Yes,2006,3,2,2,1,0,0,0,,
Chila's Beach Front Studio,Belize,Caye Caulker,Northern Islands ,Yes,2011,3,3,3,0,0,0,0,17.747679,-88.023991
China Town Hotel,Belize,Caye Caulker,Northern Islands ,Yes,2007,69,69,60,2,4,0,0,17.741404,-88.025459
Chiquibul Ranch ,Cayo,Cayo,Western Belize ,Yes,2014,2,1,4,1,0,0,0,17.097203,-88.973503
Chocolate's Guest House,Belize,Caye Caulker,Northern Islands ,Yes,1997,2,1,1,0,1,0,0,17.4486,-88.0143
